t,s1,t1,s2,t2,s3,t3,s4,t4
100,0,0,3,2,0,0,0,0
102,0,0,0,0,1,1,0,0
102,0,0,0,0,1,1,0,0
103,2,2,3,2,0,0,3,3
103,0,0,2,3,0,0,3,1
104,0,0,0,0,0,0,1,2
104,0,0,0,0,0,0,2,2
105,3,1,3,1,1,1,0,0
105,0,0,0,0,1,1,0,0
106,2,3,0,0,2,2,0,0
106,0,0,0,0,2,3,0,0
106,0,0,0,0,3,2,0,0
107,0,0,1,2,3,2,3,1
107,0,0,2,2,0,0,0,0
108,0,0,0,0,3,2,2,3
108,0,0,0,0,2,3,3,2
108,0,0,0,0,3,2,0,0
109,2,3,0,0,3,2,3,1
109,3,1,0,0,0,0,0,0
110,0,0,3,1,3,1,1,1
110,0,0,0,0,0,0,1,1
111,1,1,0,0,2,3,1,1
111,1,1,0,0,3,4,0,0
112,1,1,0,0,0,0,0,0
112,1,1,0,0,0,0,0,0
112,1,2,0,0,0,0,0,0
114,2,3,2,3,0,0,0,0
114,3,2,3,2,0,0,0,0
114,0,0,2,3,0,0,0,0
115,0,0,0,0,0,0,1,2
116,3,2,1,1,0,0,2,3
116,0,0,1,1,0,0,0,0
117,0,0,1,1,0,0,2,3
117,0,0,1,1,0,0,3,2
117,0,0,1,1,0,0,0,0
119,0,0,2,2,0,0,3,2
120,3,2,0,0,0,0,0,0
121,0,0,3,2,0,0,0,0
121,0,0,2,3,0,0,0,0
122,0,0,0,0,0,0,3,2
122,0,0,0,0,0,0,2,3
123,3,2,2,3,0,0,0,0
123,2,3,3,2,0,0,0,0
123,3,2,0,0,0,0,0,0
123,2,3,0,0,0,0,0,0
124,0,0,0,0,0,0,2,3
125,1,2,3,2,0,0,1,2
125,2,3,2,3,0,0,2,3
127,0,0,0,0,0,0,0,0
128,0,0,2,3,0,0,0,0
128,0,0,3,1,0,0,0,0
128,0,0,1,2,0,0,0,0
130,0,0,3,4,0,0,0,0
