t,s1,t1,s2,t2,s3,t3,s4,t4
91,1,1,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0
92,2,2,2,3,0,0,3,1
92,2,3,3,2,0,0,1,2
92,3,2,0,0,0,0,2,3
92,2,2,0,0,0,0,0,0
92,2,3,0,0,0,0,0,0
93,2,3,3,2,0,0,0,0
94,3,2,3,2,0,0,0,0
94,2,3,0,0,0,0,0,0
94,3,4,0,0,0,0,0,0
95,1,1,3,2,0,0,0,0
95,1,1,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0
95,1,2,0,0,0,0,0,0
95,2,2,0,0,0,0,0,0
95,2,3,0,0,0,0,0,0
95,3,2,0,0,0,0,0,0
95,2,2,0,0,0,0,0,0
96,3,2,3,3,1,2,0,0
96,2,3,3,4,2,3,0,0
96,3,3,0,0,3,2,0,0
96,3,2,0,0,0,0,0,0
96,2,3,0,0,0,0,0,0
96,3,1,0,0,0,0,0,0
96,1,1,0,0,0,0,0,0
97,1,1,1,1,3,4,0,0
97,1,1,0,0,0,0,0,0
98,1,1,1,1,0,0,4,1
98,1,2,1,1,0,0,1,2
98,2,2,0,0,0,0,2,3
98,2,3,0,0,0,0,0,0
98,3,2,0,0,0,0,0,0
98,2,2,0,0,0,0,0,0
98,2,3,0,0,0,0,0,0
98,3,2,0,0,0,0,0,0
98,2,3,0,0,0,0,0,0
98,3,3,0,0,0,0,0,0
98,3,2,0,0,0,0,0,0
98,2,3,0,0,0,0,0,0
100,0,0,2,2,0,0,0,0
100,0,0,2,3,0,0,0,0
100,0,0,3,2,0,0,0,0
100,0,0,2,3,0,0,0,0
100,0,0,3,2,0,0,0,0
101,0,0,3,2,0,0,0,0
101,0,0,2,3,0,0,0,0
101,0,0,3,2,0,0,0,0
102,0,0,3,2,0,0,0,0
104,0,0,3,3,1,2,0,0
104,0,0,3,4,2,3,0,0
104,0,0,4,1,0,0,0,0
104,0,0,1,1,0,0,0,0
105,0,0,1,1,0,0,0,0
105,0,0,1,1,0,0,0,0
106,0,0,2,2,0,0,0,0
107,0,0,0,0,2,3,4,1
107,0,0,0,0,3,4,0,0
108,0,0,3,2,0,0,2,3
108,0,0,0,0,0,0,3,4
109,0,0,3,2,0,0,0,0
109,0,0,2,3,0,0,0,0
109,0,0,3,2,0,0,0,0
110,0,0,3,2,0,0,0,0
110,0,0,2,3,0,0,0,0
110,0,0,3,2,0,0,0,0
111,0,0,3,3,0,0,0,0
111,0,0,3,4,0,0,0,0
112,0,0,1,1,1,2,0,0
112,0,0,1,1,2,3,0,0
112,0,0,1,1,0,0,0,0
113,0,0,1,2,2,3,0,0
113,0,0,0,0,3,4,0,0
114,0,0,0,0,0,0,1,2
114,0,0,0,0,0,0,2,3
114,0,0,0,0,0,0,3,4
115,0,0,2,3,0,0,0,0
115,0,0,3,2,0,0,0,0
116,0,0,3,2,0,0,0,0
116,0,0,2,3,0,0,0,0
116,0,0,3,2,0,0,0,0
117,0,0,3,2,0,0,0,0
117,0,0,2,3,0,0,0,0
117,0,0,3,2,0,0,0,0
117,0,0,2,3,0,0,0,0
118,0,0,0,0,0,0,0,0
119,0,0,3,4,0,0,0,0
120,0,0,0,0,1,2,0,0
120,0,0,0,0,2,3,0,0
120,0,0,0,0,3,2,0,0
121,0,0,0,0,3,4,1,2
121,0,0,0,0,0,0,2,3
121,0,0,0,0,0,0,3,4
