t,s1,t1,s2,t2,s3,t3,s4,t4
78,3,2,0,0,0,0,0,0
79,3,1,0,0,0,0,0,0
79,1,1,0,0,0,0,0,0
79,1,1,0,0,0,0,0,0
79,1,1,0,0,0,0,0,0
79,1,1,0,0,0,0,0,0
80,1,1,0,0,0,0,0,0
80,1,2,0,0,0,0,0,0
80,2,2,0,0,0,0,0,0
80,2,3,0,0,0,0,0,0
80,3,2,0,0,0,0,0,0
80,2,2,0,0,0,0,0,0
81,3,2,0,0,0,0,0,0
81,2,3,0,0,0,0,0,0
82,3,2,0,0,0,0,0,0
82,2,3,0,0,0,0,0,0
83,4,1,4,1,0,0,0,0
83,1,1,1,1,0,0,0,0
83,1,1,1,1,0,0,0,0
83,1,1,1,1,0,0,0,0
83,1,1,1,1,0,0,0,0
83,1,1,0,0,0,0,0,0
84,1,2,2,2,0,0,0,0
84,2,2,2,3,0,0,0,0
84,2,3,3,2,0,0,0,0
84,3,2,2,3,0,0,0,0
84,2,2,3,2,0,0,0,0
85,3,2,3,2,0,0,0,0
85,2,3,2,3,0,0,0,0
86,3,2,2,3,0,0,0,0
86,2,3,3,2,0,0,0,0
86,3,1,2,3,0,0,0,0
86,1,1,3,3,0,0,0,0
86,1,1,3,4,0,0,0,0
87,1,1,0,0,1,2,1,2
87,1,1,0,0,2,3,2,3
87,1,1,0,0,3,2,3,4
87,1,2,0,0,2,3,0,0
87,0,0,0,0,3,4,0,0
88,2,3,0,0,0,0,0,0
88,3,2,0,0,0,0,0,0
88,2,2,0,0,0,0,0,0
88,2,3,0,0,0,0,0,0
89,2,3,0,0,0,0,0,0
89,3,3,0,0,0,0,0,0
89,3,2,0,0,0,0,0,0
89,2,3,0,0,0,0,0,0
89,3,4,0,0,0,0,0,0
90,0,0,1,1,0,0,0,0
90,0,0,1,1,0,0,0,0
90,0,0,1,1,0,0,0,0
90,0,0,1,1,0,0,0,0
90,0,0,1,2,0,0,0,0
90,0,0,2,2,0,0,0,0
90,0,0,2,3,0,0,0,0
90,0,0,3,2,0,0,0,0
91,0,0,3,2,0,0,0,0
91,0,0,2,3,0,0,0,0
92,0,0,2,3,0,0,0,0
92,0,0,3,2,0,0,0,0
92,0,0,2,3,0,0,0,0
92,0,0,3,2,0,0,0,0
92,0,0,2,3,0,0,0,0
92,0,0,3,3,0,0,0,0
92,0,0,3,4,0,0,0,0
93,0,0,0,0,1,2,1,2
93,0,0,0,0,2,3,2,3
93,0,0,0,0,3,2,3,4
93,0,0,0,0,2,3,0,0
93,0,0,0,0,3,4,0,0
