Source,Target,Duration
2,8,0.07704289684727428
8,7,0.16117271158218216
7,3,0.05411696588490145
3,8,0.27948988115916507
8,7,0.3567865533193526
7,2,0.013377227016349025
2,8,0.8529378714672902
8,6,0.21924661727700823
6,7,0.10882336605861553
7,3,0.03779993218891775
3,8,0.14931115131658146
8,2,0.20536997393496392
2,18,0.1702746057665223
18,13,0.04061563726074269
13,12,0.06755183510121299
12,9,0.03993714341895327
9,10,0.10592051899058674
10,17,0.6489611604969809
17,18,0.3792592121095595
18,13,0.25182184457790413
13,14,0.3873624983188222
14,18,0.026635069396675704
18,17,0.008024336614496974
17,18,0.0611740928795399
18,15,0.11083102581112314
15,6,0.2550761383295139
6,7,0.13919851318163978
7,8,0.03840449609424468
8,9,0.3575888020704241
9,3,1.0511389398671298
3,1,0.06218101825064082
1,1,0.17242725555536254
1,1,0.01617320938704836
1,19,0.2003909848075125
19,1,0.18209213255255463
1,20,0.25090552025517354
20,16,0.15938937152203891
16,16,0.12782168306274855
16,16,0.0066164923443210455
16,2,0.25049833615322825
2,16,0.23815955710297487
16,16,0.049837554699081466
16,16,0.015453253387818222
16,16,0.06989399048484302
16,17,0.23387017878502547
17,10,0.07298591006309607
10,17,0.16257416325539964
17,2,0.0302959631344919
2,3,1.4194407071073414
3,18,0.7893479559064787
18,2,0.12055751393134528
2,17,0.45209164031948035
17,17,0.398879684218727
17,18,0.8000886272632357
18,17,0.14713364575000298
17,3,0.4275829699389959
3,2,0.48641245940972055
2,18,0.18365464777568263
18,3,0.41379920103773316
3,1,0.11243331716333671
1,1,0.1101053690361482
1,1,0.020537133799919616
1,1,0.06578240913745503
1,1,0.33415737882280894
1,2,0.07637550017703632
2,3,0.33877991616843417
3,2,0.4932188872172816
2,3,1.2346862048747624
3,18,0.1452079323946407
18,2,0.07164429311363563
2,17,0.06957842345448739
17,18,0.15048754924515606
18,2,0.13498409368943953
2,3,0.3141211331842868
3,2,0.23002299503178847
2,3,0.9604268821210411
3,19,0.22963742067636872
19,2,0.14290557657643888
2,16,0.4811986660010916
16,16,0.1111295382869173
